Timestamp,Name,team,bet
12/03/2026 07:59:49,Knuts,AIK,8
14/03/2026 19:01:31,Fredrik.L,AIK,6
16/03/2026 18:21:45,Anders,AIK,4
22/03/2026 14:30:12,Rolf A,AIK,5
12/03/2026 07:59:49,Knuts,Häcken,4
14/03/2026 19:01:31,Fredrik.L,Häcken,8
16/03/2026 18:21:45,Anders,Häcken,10
22/03/2026 14:30:12,Rolf A,Häcken,8
12/03/2026 07:59:49,Knuts,Degerfors,15
14/03/2026 19:01:31,Fredrik.L,Degerfors,10
16/03/2026 18:21:45,Anders,Degerfors,13
22/03/2026 14:30:12,Rolf A,Degerfors,12
12/03/2026 07:59:49,Knuts,Djurgården,3
14/03/2026 19:01:31,Fredrik.L,Djurgården,7
16/03/2026 18:21:45,Anders,Djurgården,6
22/03/2026 14:30:12,Rolf A,Djurgården,6
12/03/2026 07:59:49,Knuts,Gais,7
14/03/2026 19:01:31,Fredrik.L,Gais,5
16/03/2026 18:21:45,Anders,Gais,5
22/03/2026 14:30:12,Rolf A,Gais,4
12/03/2026 07:59:49,Knuts,Halmstad,16
14/03/2026 19:01:31,Fredrik.L,Halmstad,15
16/03/2026 18:21:45,Anders,Halmstad,14
22/03/2026 14:30:12,Rolf A,Halmstad,16
12/03/2026 07:59:49,Knuts,Hammarby,2
14/03/2026 19:01:31,Fredrik.L,Hammarby,1
16/03/2026 18:21:45,Anders,Hammarby,2
22/03/2026 14:30:12,Rolf A,Hammarby,1
12/03/2026 07:59:49,Knuts,BP,14
14/03/2026 19:01:31,Fredrik.L,BP,9
16/03/2026 18:21:45,Anders,BP,9
22/03/2026 14:30:12,Rolf A,BP,11
12/03/2026 07:59:49,Knuts,Elfsborg,9
14/03/2026 19:01:31,Fredrik.L,Elfsborg,4
16/03/2026 18:21:45,Anders,Elfsborg,11
22/03/2026 14:30:12,Rolf A,Elfsborg,10
12/03/2026 07:59:49,Knuts,Göteborg,4
14/03/2026 19:01:31,Fredrik.L,Göteborg,16
16/03/2026 18:21:45,Anders,Göteborg,8
22/03/2026 14:30:12,Rolf A,Göteborg,7
12/03/2026 07:59:49,Knuts,Sirius,13
14/03/2026 19:01:31,Fredrik.L,Sirius,3
16/03/2026 18:21:45,Anders,Sirius,7
22/03/2026 14:30:12,Rolf A,Sirius,9
12/03/2026 07:59:49,Knuts,Kalmar,12
14/03/2026 19:01:31,Fredrik.L,Kalmar,13
16/03/2026 18:21:45,Anders,Kalmar,16
22/03/2026 14:30:12,Rolf A,Kalmar,13
12/03/2026 07:59:49,Knuts,Malmö,1
14/03/2026 19:01:31,Fredrik.L,Malmö,12
16/03/2026 18:21:45,Anders,Malmö,3
22/03/2026 14:30:12,Rolf A,Malmö,3
12/03/2026 07:59:49,Knuts,Mjällby,3
14/03/2026 19:01:31,Fredrik.L,Mjällby,1
16/03/2026 18:21:45,Anders,Mjällby,1
22/03/2026 14:30:12,Rolf A,Mjällby,2
12/03/2026 07:59:49,Knuts,Västerås,11
14/03/2026 19:01:31,Fredrik.L,Västerås,14
16/03/2026 18:21:45,Anders,Västerås,15
22/03/2026 14:30:12,Rolf A,Västerås,14
12/03/2026 07:59:49,Knuts,Örgryte,10
14/03/2026 19:01:31,Fredrik.L,Örgryte,16
16/03/2026 18:21:45,Anders,Örgryte,12
22/03/2026 14:30:12,Rolf A,Örgryte,15
12/03/2026 07:59:49,Knuts,Email address,
14/03/2026 19:01:31,Fredrik.L,Email address,
16/03/2026 18:21:45,Anders,Email address,
22/03/2026 14:30:12,Rolf A,Email address,
